,Unnamed: 0,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
6437,6438,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6220775573,-58.4040959459",1420000.0,ARS,1416058.68,93392.78,46.0,42.0,2030.277826,33809.52381,,,,http://almagro.properati.com.ar/vxqv_venta_departamentos_almagro
6451,6452,sell,apartment,|Argentina|Capital Federal|Villa del Parque|,"-34.5998773,-58.4813819",145000.0,USD,2198548.0,145000.0,0.0,69.0,,2101.449275,,3.0,,http://villa-del-parque.properati.com.ar/10459_venta_departamentos_villa-del-parque_suite_lujoso_garage_aire-acondicionado_estrenar_tecniprop-broker-consulting_cut
6454,6455,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.597982,-58.426876",165000.0,USD,2501796.0,165000.0,66.0,60.0,2500.0,2750.0,,3.0,,http://almagro.properati.com.ar/zfc2_venta_departamentos_villa-crespo_parrilla_piscina_vista_pronin-propiedades
6456,6457,sell,apartment,|Argentina|Capital Federal|,,60000.0,USD,909744.0,60000.0,,31.0,,1935.483871,,1.0,,http://capital-federal.properati.com.ar/y0j6_venta_departamentos_capital-federal_estrenar_el-trebol-morana-inmuebles-servicios
6459,6460,sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6405283,-58.5294588",145000.0,USD,2198548.0,145000.0,55.0,50.0,2636.363636,2900.0,,,,http://villa-luro.properati.com.ar/wkj7_venta_departamentos_villa-luro
6477,6478,sell,apartment,|Argentina|Capital Federal|Coghlan|,"-34.5562882,-58.4614498",168500.0,USD,2554864.4,168500.0,154.0,46.0,1094.155844,3663.043478,,2.0,,http://coghlan.properati.com.ar/xtmi_venta_departamentos_coghlan_balcon_parrilla_quincho_terraza_luminoso_placard_aire-acondicionado
6482,6483,sell,apartment,|Argentina|Capital Federal|Parque Centenario|,"-34.6025627,-58.4419902",139500.0,USD,2115154.8,139500.0,70.0,70.0,1992.857143,1992.857143,2.0,4.0,2100.0,http://parque-centenario.properati.com.ar/1057s_venta_departamentos_parque-centenario_lavadero_luminoso_dependencias_impecable_placard_bertolotti
6498,6499,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6120974507,-58.4238887621",155000.0,USD,2350172.0,155000.0,108.0,76.0,1435.185185,2039.473684,,3.0,1190.0,http://almagro.properati.com.ar/11kq1_venta_departamentos_almagro_lavadero_patio_luminoso_garage_doble-circulacion_di-mitrio-inmobiliaria_d2r
6500,6501,sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5982067,-58.4220727",120000.0,USD,1819488.0,120000.0,53.0,45.0,2264.150943,2666.666667,,2.0,1400.0,http://palermo.properati.com.ar/102r1_venta_departamentos_palermo_balcon_luminoso_aire-acondicionado_martin-arrieta-propiedades_9i7
6513,6514,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6094846,-58.4186866",70000.0,USD,1061368.0,70000.0,45.0,40.0,1555.555556,1750.0,,2.0,,http://almagro.properati.com.ar/12sqm_venta_departamentos_almagro_balcon_luminoso_placard_subte-linea-b_subte-linea-a_carlos-castano-propiedades
6517,6518,sell,apartment,|Argentina|Capital Federal|Congreso|,"-34.607709,-58.392334",70000.0,USD,1061368.0,70000.0,,50.0,,1400.0,,3.0,,http://congreso.properati.com.ar/yveg_venta_departamentos_balvanera_luminoso_re-max-uno
6521,6522,sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.546881,-58.478594",93000.0,USD,1410103.2,93000.0,56.0,48.0,1660.714286,1937.5,,1.0,,http://saavedra.properati.com.ar/sjfa_venta_departamentos_saavedra
